image,caption,preprocessed_captions
0000170.png,One orange mountain with green bushes in the base and light blue sky with a streak of thin grey cloud,"['one', 'orang', 'mountain', 'green', 'bush', 'base', 'light', 'blue', 'sky', 'streak', 'thin', 'grey', 'cloud']"
0000182.png,A single rocky peak with green bushes and cloudy white sky,"['singl', 'rocki', 'peak', 'green', 'bush', 'cloudi', 'white', 'sky']"
0000183.png,Rugged mountain slope with green trees and bushes and gray hazy sky with thick grey clouds,"['rug', 'mountain', 'slope', 'green', 'tree', 'bush', 'gray', 'hazi', 'sky', 'thick', 'grey', 'cloud']"
0000188.png,Rocky rounded red mountain with green bush in the base and clear light blue sky,"['rocki', 'round', 'red', 'mountain', 'green', 'bush', 'base', 'clear', 'light', 'blue', 'sky']"
0000196.png,A single rocky mountain peak covered with thick white snow and light blue sky with scattered thin white clouds,"['singl', 'rocki', 'mountain', 'peak', 'cover', 'thick', 'white', 'snow', 'light', 'blue', 'sky', 'scatter', 'thin', 'white', 'cloud']"
0000204.png,Rocky Mountain range with streaks of white snow and light blue sky and large thick grey clouds,"['rocki', 'mountain', 'rang', 'streak', 'white', 'snow', 'light', 'blue', 'sky', 'larg', 'thick', 'grey', 'cloud']"
0000205.png,Jagged mountain slope covered with snow and misty blue sky,"['jag', 'mountain', 'slope', 'cover', 'snow', 'misti', 'blue', 'sky']"
0000207.png,A single rugged dark mountain peak with snow and hazy grey sky,"['singl', 'rug', 'dark', 'mountain', 'peak', 'snow', 'hazi', 'grey', 'sky']"
0000212.png,Dark mountain slope with clear light blue night sky,"['dark', 'mountain', 'slope', 'clear', 'light', 'blue', 'night', 'sky']"
0000217.png,Rocky mountain peak covered with uneve snow and clear bright blue sky,"['rocki', 'mountain', 'peak', 'cover', 'unev', 'snow', 'clear', 'bright', 'blue', 'sky']"
0000222.png,Rugged rocky mountain slope with snow covering the peak and green bushes in the base and clear light blue sky,"['rug', 'rocki', 'mountain', 'slope', 'snow', 'cover', 'peak', 'green', 'bush', 'base', 'clear', 'light', 'blue', 'sky']"
0000234.png,Jagged Mountain peak with sparse green bushes on the top and light blue sky with scattered white and blue clouds,"['jag', 'mountain', 'peak', 'spars', 'green', 'bush', 'top', 'light', 'blue', 'sky', 'scatter', 'white', 'blue', 'cloud']"
0000244.png,Mountain with a rounded peak covered uniformly with green grass and light blue sky with thin white clouds and the sun,"['mountain', 'round', 'peak', 'cover', 'uniformli', 'green', 'grass', 'light', 'blue', 'sky', 'thin', 'white', 'cloud', 'sun']"
0000256.png,Dark mountain slope with an orange tinted sky with a white cloud,"['dark', 'mountain', 'slope', 'orang', 'tint', 'sky', 'white', 'cloud']"
0000257.png,Rugged mountain peaks with greenery in the base and thick and large grey clouds over it with light blue sky,"['rug', 'mountain', 'peak', 'greeneri', 'base', 'thick', 'larg', 'grey', 'cloud', 'light', 'blue', 'sky']"
0000258.png,A rocky mountain peak with uneven snow and clear light purple sky,"['rocki', 'mountain', 'peak', 'uneven', 'snow', 'clear', 'light', 'purpl', 'sky']"
0000259.png,Rocky mountain peak with dense green vegetation and light blue sky with a white cloud,"['rocki', 'mountain', 'peak', 'dens', 'green', 'veget', 'light', 'blue', 'sky', 'white', 'cloud']"
0000263.png,Snow capped rugged mountain range and a snow covered mountain slope and hazy grey sky with dense grey clouds,"['snow', 'cap', 'rug', 'mountain', 'rang', 'snow', 'cover', 'mountain', 'slope', 'hazi', 'grey', 'sky', 'dens', 'grey', 'cloud']"
0000268.png,Two red tinted rocky mountain peaks covered with streaks of white snow and light blue sky with large white and grey clouds,"['two', 'red', 'tint', 'rocki', 'mountain', 'peak', 'cover', 'streak', 'white', 'snow', 'light', 'blue', 'sky', 'larg', 'white', 'grey', 'cloud']"
0000280.png,Dark Mountain basin with white snow in the middle and dense greenery around it and thick low lying white clouds on the peak,"['dark', 'mountain', 'basin', 'white', 'snow', 'middl', 'dens', 'greeneri', 'around', 'thick', 'low', 'lie', 'white', 'cloud', 'peak']"
0000285.png,Rocky mountain peak covered with snow and hazy sky with thick grey clouds,"['rocki', 'mountain', 'peak', 'cover', 'snow', 'hazi', 'sky', 'thick', 'grey', 'cloud']"
0000298.png,Dark rocky mountain covered unevenly by white snow and gravel and hazy sky with thick grey clouds,"['dark', 'rocki', 'mountain', 'cover', 'unevenli', 'white', 'snow', 'gravel', 'hazi', 'sky', 'thick', 'grey', 'cloud']"
0000299.png,Dark rocky mountain covered with streaks of snow and grey sky with scattered white clouds,"['dark', 'rocki', 'mountain', 'cover', 'streak', 'snow', 'grey', 'sky', 'scatter', 'white', 'cloud']"
0000303.png,Flat mountain top with thick green forest in the base and clear dark teal sky with a layer of dense white clouds,"['flat', 'mountain', 'top', 'thick', 'green', 'forest', 'base', 'clear', 'dark', 'teal', 'sky', 'layer', 'dens', 'white', 'cloud']"
0000311.png,Rocky mountain range with sparse green vegetation around it and bright blue sky with scattered white clouds,"['rocki', 'mountain', 'rang', 'spars', 'green', 'veget', 'around', 'bright', 'blue', 'sky', 'scatter', 'white', 'cloud']"
0000315.png,Rounded mountain tops covered with streaks of white snow and blue sky with dense and large white clouds,"['round', 'mountain', 'top', 'cover', 'streak', 'white', 'snow', 'blue', 'sky', 'dens', 'larg', 'white', 'cloud']"
0000322.png,Dark rocky mountain peak with uneven snow and clear light blue sky,"['dark', 'rocki', 'mountain', 'peak', 'uneven', 'snow', 'clear', 'light', 'blue', 'sky']"
0000336.png,Green mountain slope covered with thick green trees and light blue sky with layers of grey clouds,"['green', 'mountain', 'slope', 'cover', 'thick', 'green', 'tree', 'light', 'blue', 'sky', 'layer', 'grey', 'cloud']"
0000339.png,Rugged mountain peak with gravel and a hazy sky with large grey clouds,"['rug', 'mountain', 'peak', 'gravel', 'hazi', 'sky', 'larg', 'grey', 'cloud']"
0000343.png,Dark Rocky mountain peaks covered with streaks of snow and hazy sky with large grey and white clouds,"['dark', 'rocki', 'mountain', 'peak', 'cover', 'streak', 'snow', 'hazi', 'sky', 'larg', 'grey', 'white', 'cloud']"
0000347.png,snow capped rocky peak with clear blue sky,"['snow', 'cap', 'rocki', 'peak', 'clear', 'blue', 'sky']"
0000367.png,A dark rocky peak unevenly covered with white snow and low lying dense white clouds on the top,"['dark', 'rocki', 'peak', 'unevenli', 'cover', 'white', 'snow', 'low', 'lie', 'dens', 'white', 'cloud', 'top']"
0022500.png,Green hills with pine trees and hazy sky,"['green', 'hill', 'pine', 'tree', 'hazi', 'sky']"
0022504.png,rocky hills with light blue sky,"['rocki', 'hill', 'light', 'blue', 'sky']"
0022508.png,Green rocky hills with white clouds and blue sky,"['green', 'rocki', 'hill', 'white', 'cloud', 'blue', 'sky']"
0022509.png,Snow capped mountain range,"['snow', 'cap', 'mountain', 'rang']"
0022515.png,Rocky hills with streaks of white snow,"['rocki', 'hill', 'streak', 'white', 'snow']"
0022521.png,Three rocky mountain peaks with snow and clear light blue sky,"['three', 'rocki', 'mountain', 'peak', 'snow', 'clear', 'light', 'blue', 'sky']"
0022523.png,Stoney mountains with sparse vegetation and clear blue sky,"['stoney', 'mountain', 'spars', 'veget', 'clear', 'blue', 'sky']"
0022526.png,Two sharp snow capped mountains with scattered white clouds,"['two', 'sharp', 'snow', 'cap', 'mountain', 'scatter', 'white', 'cloud']"
0022527.png,Green hill with dense low lying white clouds,"['green', 'hill', 'dens', 'low', 'lie', 'white', 'cloud']"
0022530.png,A Mountain valley with orange sky,"['mountain', 'valley', 'orang', 'sky']"
0022532.png,Dark rocky mountain with light pink clouds and blue sky,"['dark', 'rocki', 'mountain', 'light', 'pink', 'cloud', 'blue', 'sky']"
0022541.png,Snow capped Mountain range with grey hazy sky,"['snow', 'cap', 'mountain', 'rang', 'grey', 'hazi', 'sky']"
0022545.png,Blue rocky mountain range with clear dark blue sky,"['blue', 'rocki', 'mountain', 'rang', 'clear', 'dark', 'blue', 'sky']"
0022547.png,Single dark snow capped mountain with dark grey sky,"['singl', 'dark', 'snow', 'cap', 'mountain', 'dark', 'grey', 'sky']"
0022551.png,A single rocky peak with streaks of snow and blue sky scattered with light blue sky,"['singl', 'rocki', 'peak', 'streak', 'snow', 'blue', 'sky', 'scatter', 'light', 'blue', 'sky']"
0022556.png,Snow capped mountain peak with pink-grey hazy sky,"['snow', 'cap', 'mountain', 'peak', 'pink-grey', 'hazi', 'sky']"
0022562.png,A red sandstone mountain with bright blue sky and thick white clouds,"['red', 'sandston', 'mountain', 'bright', 'blue', 'sky', 'thick', 'white', 'cloud']"
0022563.png,A hill with dense green trees and bright blue sky,"['hill', 'dens', 'green', 'tree', 'bright', 'blue', 'sky']"
0022564.png,Dark hill ranges with grey hazy sky,"['dark', 'hill', 'rang', 'grey', 'hazi', 'sky']"
0022566.png,Rocky Snow capped mountains with green bushes in the base and clear light blue sky,"['rocki', 'snow', 'cap', 'mountain', 'green', 'bush', 'base', 'clear', 'light', 'blue', 'sky']"
0022570.png,Rocky Mountains with green pastures and grey cloudy sky,"['rocki', 'mountain', 'green', 'pastur', 'grey', 'cloudi', 'sky']"
0022571.png,A single weathered rocky peak with clear light blue sky,"['singl', 'weather', 'rocki', 'peak', 'clear', 'light', 'blue', 'sky']"
0022576.png,Dry sandy mountain range with hazy blue sky,"['dri', 'sandi', 'mountain', 'rang', 'hazi', 'blue', 'sky']"
0022579.png,Snow streaked mountain with green trees and thick cloudy sky,"['snow', 'streak', 'mountain', 'green', 'tree', 'thick', 'cloudi', 'sky']"
0022580.png,layered orange mountain side with bright blue sky,"['layer', 'orang', 'mountain', 'side', 'bright', 'blue', 'sky']"
0022584.png,Sedimentary grey mountain range with dense green bushes in the base,"['sedimentari', 'grey', 'mountain', 'rang', 'dens', 'green', 'bush', 'base']"
0022586.png,Dark mountain ranges with a clear sky and a layer of white cloud,"['dark', 'mountain', 'rang', 'clear', 'sky', 'layer', 'white', 'cloud']"
0022587.png,Snow capped jagged mountain peaks with orange trees and light blue sky with scattered white clouds,"['snow', 'cap', 'jag', 'mountain', 'peak', 'orang', 'tree', 'light', 'blue', 'sky', 'scatter', 'white', 'cloud']"
0022588.png,A Snow capped mountain with clear light blue sky,"['snow', 'cap', 'mountain', 'clear', 'light', 'blue', 'sky']"
0022592.png,Dark mountain range along with a single peak with orange hazy sky,"['dark', 'mountain', 'rang', 'along', 'singl', 'peak', 'orang', 'hazi', 'sky']"
0022593.png,Snow capped rocky mountain peaks and a light blue sky with scattered white clouds,"['snow', 'cap', 'rocki', 'mountain', 'peak', 'light', 'blue', 'sky', 'scatter', 'white', 'cloud']"
0022595.png,A weathered down grey rocky peak and blue hazy sky with thick grey clouds,"['weather', 'grey', 'rocki', 'peak', 'blue', 'hazi', 'sky', 'thick', 'grey', 'cloud']"
0022596.png,A hill covered with dense green trees and bushes and hazy sky with a grey cloud on the hill,"['hill', 'cover', 'dens', 'green', 'tree', 'bush', 'hazi', 'sky', 'grey', 'cloud', 'hill']"
0022598.png,Sharp snow cladded mountain peaks with dry vegetation and dark blue sky with thick dark grey clouds,"['sharp', 'snow', 'clad', 'mountain', 'peak', 'dri', 'veget', 'dark', 'blue', 'sky', 'thick', 'dark', 'grey', 'cloud']"
0022599.png,A mountain amongst a pine tree forest in snow with clear light blue sky,"['mountain', 'amongst', 'pine', 'tree', 'forest', 'snow', 'clear', 'light', 'blue', 'sky']"
0022606.png,Snowy mountain trail with clear light blue sky,"['snowi', 'mountain', 'trail', 'clear', 'light', 'blue', 'sky']"
0022607.png,Four snowy mountain peaks and white sky covered with thick white clouds,"['four', 'snowi', 'mountain', 'peak', 'white', 'sky', 'cover', 'thick', 'white', 'cloud']"
0022608.png,Rocky mountain edge with yellow-green trees and hazy grey sky with grey clouds,"['rocki', 'mountain', 'edg', 'yellow-green', 'tree', 'hazi', 'grey', 'sky', 'grey', 'cloud']"
0022610.png,Rocky Mountain slope with gravel and spare green bushes and light blue sky with thick grey clouds,"['rocki', 'mountain', 'slope', 'gravel', 'spare', 'green', 'bush', 'light', 'blue', 'sky', 'thick', 'grey', 'cloud']"
0022611.png,Snowy Mountain peak with a hill range covered in orange moss and hazy sky covered with thick grey clouds,"['snowi', 'mountain', 'peak', 'hill', 'rang', 'cover', 'orang', 'moss', 'hazi', 'sky', 'cover', 'thick', 'grey', 'cloud']"
0022613.png,Grey rocky mountain table top with clear light blue sky,"['grey', 'rocki', 'mountain', 'tabl', 'top', 'clear', 'light', 'blue', 'sky']"
0022616.png,Snow capped mountain peak with no vegetation and clear blue sky,"['snow', 'cap', 'mountain', 'peak', 'veget', 'clear', 'blue', 'sky']"
0022617.png,Low lying mountain ranges covered with dense green trees and bright blue sky with scattered thick white clouds,"['low', 'lie', 'mountain', 'rang', 'cover', 'dens', 'green', 'tree', 'bright', 'blue', 'sky', 'scatter', 'thick', 'white', 'cloud']"
0022619.png,Tall Mountain peak surrounded by pine trees with a dense grey cloud cover,"['tall', 'mountain', 'peak', 'surround', 'pine', 'tree', 'dens', 'grey', 'cloud', 'cover']"
0022623.png,Low lying hill range covered with green grass and a light blue sky with a layer of low lying white clouds,"['low', 'lie', 'hill', 'rang', 'cover', 'green', 'grass', 'light', 'blue', 'sky', 'layer', 'low', 'lie', 'white', 'cloud']"
0022626.png,Rocky snow basin without any vegetation with clear blue sky,"['rocki', 'snow', 'basin', 'without', 'veget', 'clear', 'blue', 'sky']"
0022627.png,Snow Capped mountain peak covered with brown grass and a hazy light blue sky,"['snow', 'cap', 'mountain', 'peak', 'cover', 'brown', 'grass', 'hazi', 'light', 'blue', 'sky']"
0022632.png,Mountain Slope covered with dense green grass and low lying thick white clouds and hazy sky,"['mountain', 'slope', 'cover', 'dens', 'green', 'grass', 'low', 'lie', 'thick', 'white', 'cloud', 'hazi', 'sky']"
0022634.png,Snow cladded sharp peak with clear sky,"['snow', 'clad', 'sharp', 'peak', 'clear', 'sky']"
0022642.png,Ragged orange mountain peaks with sparse green grass and hazy light blue sky,"['rag', 'orang', 'mountain', 'peak', 'spars', 'green', 'grass', 'hazi', 'light', 'blue', 'sky']"
0022645.png,Rocky Mountain slope with streaks of snow with the sun light hitting the peak and clear blue sky,"['rocki', 'mountain', 'slope', 'streak', 'snow', 'sun', 'light', 'hit', 'peak', 'clear', 'blue', 'sky']"
0022646.png,Blue hill range dense green vegetation and light blue sky with thin white clouds,"['blue', 'hill', 'rang', 'dens', 'green', 'veget', 'light', 'blue', 'sky', 'thin', 'white', 'cloud']"
0022651.png,Snow capped rocky mountain peak surrounded with pine trees and thick white low lying clouds,"['snow', 'cap', 'rocki', 'mountain', 'peak', 'surround', 'pine', 'tree', 'thick', 'white', 'low', 'lie', 'cloud']"
0022656.png,Rocky rounded mountain covered with dense green bushes and blue sky scattered with thin white clouds,"['rocki', 'round', 'mountain', 'cover', 'dens', 'green', 'bush', 'blue', 'sky', 'scatter', 'thin', 'white', 'cloud']"
0022657.png,Snow capped rocky mountain peaks with sparse green bushes and clear blue sky,"['snow', 'cap', 'rocki', 'mountain', 'peak', 'spars', 'green', 'bush', 'clear', 'blue', 'sky']"
0022658.png,Snow streaked rocky mountain peaks surrounded with pine trees and low lying thick white clouds and bright blue sky,"['snow', 'streak', 'rocki', 'mountain', 'peak', 'surround', 'pine', 'tree', 'low', 'lie', 'thick', 'white', 'cloud', 'bright', 'blue', 'sky']"
0022661.png,Mountain slope covered with snow and grey fog,"['mountain', 'slope', 'cover', 'snow', 'grey', 'fog']"
0022665.png,Jagged mountain peaks with a mountain slope covered in green vegetation and hazy sky filled with thick grey clouds,"['jag', 'mountain', 'peak', 'mountain', 'slope', 'cover', 'green', 'veget', 'hazi', 'sky', 'fill', 'thick', 'grey', 'cloud']"
0022666.png,Snow streaked mountain with green pine trees and light blue sky filled with thin white clouds,"['snow', 'streak', 'mountain', 'green', 'pine', 'tree', 'light', 'blue', 'sky', 'fill', 'thin', 'white', 'cloud']"
0022668.png,Two snow capped mountain peaks with a mountain slope covered with green trees and clear light blue sky,"['two', 'snow', 'cap', 'mountain', 'peak', 'mountain', 'slope', 'cover', 'green', 'tree', 'clear', 'light', 'blue', 'sky']"
0022672.png,Dark Mountain with blue-grey sky and trails of white and orange clouds with the sun,"['dark', 'mountain', 'blue-grey', 'sky', 'trail', 'white', 'orang', 'cloud', 'sun']"
0022673.png,A mountain valley covered in white snow with clear light blue sky,"['mountain', 'valley', 'cover', 'white', 'snow', 'clear', 'light', 'blue', 'sky']"
0022674.png,A rugged mountain surrounded by tall green trees and hazy light blue sky,"['rug', 'mountain', 'surround', 'tall', 'green', 'tree', 'hazi', 'light', 'blue', 'sky']"
0022675.png,Rugged dark rocky mountain peaks covered with thick snow and low lying thick white clouds,"['rug', 'dark', 'rocki', 'mountain', 'peak', 'cover', 'thick', 'snow', 'low', 'lie', 'thick', 'white', 'cloud']"
0022684.png,Low lying dark mountain range covered with light snow and pine trees and light blue- grey hazy sky,"['low', 'lie', 'dark', 'mountain', 'rang', 'cover', 'light', 'snow', 'pine', 'tree', 'light', 'blue-', 'grey', 'hazi', 'sky']"
0022688.png,Dark rocky peaks with the base covered in white thick snow and hazy white sky,"['dark', 'rocki', 'peak', 'base', 'cover', 'white', 'thick', 'snow', 'hazi', 'white', 'sky']"
0022690.png,Rocky rounded mountain peak covered with green grass and trees with clear blue sky,"['rocki', 'round', 'mountain', 'peak', 'cover', 'green', 'grass', 'tree', 'clear', 'blue', 'sky']"
0022696.png,Sandy mountain covered with green vegetation and clear light blue sky,"['sandi', 'mountain', 'cover', 'green', 'veget', 'clear', 'light', 'blue', 'sky']"
0022699.png,Rocky yellow rounded mountain peak with light blue sky covered with thin grey clouds,"['rocki', 'yellow', 'round', 'mountain', 'peak', 'light', 'blue', 'sky', 'cover', 'thin', 'grey', 'cloud']"
0022714.png,Rocky mountain slope with jagged mountain rage and blue sky covered with thick white-grey clouds,"['rocki', 'mountain', 'slope', 'jag', 'mountain', 'rage', 'blue', 'sky', 'cover', 'thick', 'white-grey', 'cloud']"
0022716.png,Layered mountain with no vegetation and light blue night sky filled with stars,"['layer', 'mountain', 'veget', 'light', 'blue', 'night', 'sky', 'fill', 'star']"
0022718.png,Two snow capped rocky mountain peaks with light pink-blue clear sky,"['two', 'snow', 'cap', 'rocki', 'mountain', 'peak', 'light', 'pink-blu', 'clear', 'sky']"
0022728.png,A single snow covered mountain peak covered with pine trees and pink hazy sky with grey clouds,"['singl', 'snow', 'cover', 'mountain', 'peak', 'cover', 'pine', 'tree', 'pink', 'hazi', 'sky', 'grey', 'cloud']"
0022736.png,A single rocky peak covered in sunlight and light blue hazy sky covered with thick grey clouds,"['singl', 'rocki', 'peak', 'cover', 'sunlight', 'light', 'blue', 'hazi', 'sky', 'cover', 'thick', 'grey', 'cloud']"
0022738.png,Low lying mountain range covered with green vegetation and clear light blue sky,"['low', 'lie', 'mountain', 'rang', 'cover', 'green', 'veget', 'clear', 'light', 'blue', 'sky']"
0022740.png,Rocky layered grey Mountain range covered with sparse vegetation and blue sky with spotted thick white clouds,"['rocki', 'layer', 'grey', 'mountain', 'rang', 'cover', 'spars', 'veget', 'blue', 'sky', 'spot', 'thick', 'white', 'cloud']"
0022741.png,Rocky mountain range covered with dense green vegetation and cloudy grey sky,"['rocki', 'mountain', 'rang', 'cover', 'dens', 'green', 'veget', 'cloudi', 'grey', 'sky']"
0022744.png,Rocky mountain slope streaked with white snow and clear light blue sky,"['rocki', 'mountain', 'slope', 'streak', 'white', 'snow', 'clear', 'light', 'blue', 'sky']"
0022748.png,Low lying orange sand hills with dark green bushes and dark blue sky with thick white clouds,"['low', 'lie', 'orang', 'sand', 'hill', 'dark', 'green', 'bush', 'dark', 'blue', 'sky', 'thick', 'white', 'cloud']"
0022751.png,Rocky white mountain peaks covered with green bushes and low lying thin white clouds,"['rocki', 'white', 'mountain', 'peak', 'cover', 'green', 'bush', 'low', 'lie', 'thin', 'white', 'cloud']"
0022754.png,Grey Rocky mountain with gravel and snow surrounded with green vegetation and hazy grey sky,"['grey', 'rocki', 'mountain', 'gravel', 'snow', 'surround', 'green', 'veget', 'hazi', 'grey', 'sky']"
0022755.png,Rocky Mountain streaked with snow and clear light blue sky,"['rocki', 'mountain', 'streak', 'snow', 'clear', 'light', 'blue', 'sky']"
0022756.png,Dark soft mountain ranges and light blue sky with sparse white clouds,"['dark', 'soft', 'mountain', 'rang', 'light', 'blue', 'sky', 'spars', 'white', 'cloud']"
0022759.png,Rocky Red stone mountain and clear blue sky,"['rocki', 'red', 'stone', 'mountain', 'clear', 'blue', 'sky']"
0022763.png,Jagged snow capped mountain peaks with no vegetation and clear light blue sky,"['jag', 'snow', 'cap', 'mountain', 'peak', 'veget', 'clear', 'light', 'blue', 'sky']"
0022764.png,Valley covered with dense green trees and low lying mist with clear light pink sky,"['valley', 'cover', 'dens', 'green', 'tree', 'low', 'lie', 'mist', 'clear', 'light', 'pink', 'sky']"
0022767.png,Snow covered mountain slope with a few Pine trees and Low lying thick white clouds,"['snow', 'cover', 'mountain', 'slope', 'pine', 'tree', 'low', 'lie', 'thick', 'white', 'cloud']"
0022771.png,A snow capped mountain peak covered with thick white clouds and a blue sky,"['snow', 'cap', 'mountain', 'peak', 'cover', 'thick', 'white', 'cloud', 'blue', 'sky']"
0022773.png,Rocky mountain range with no trees and clear light blue sky,"['rocki', 'mountain', 'rang', 'tree', 'clear', 'light', 'blue', 'sky']"
0022774.png,A rocky mountain peak covered with green trees and light blue sky with few scattered white clouds,"['rocki', 'mountain', 'peak', 'cover', 'green', 'tree', 'light', 'blue', 'sky', 'scatter', 'white', 'cloud']"
0022779.png,Jagged rocky mountain slope with low lying dense white clouds,"['jag', 'rocki', 'mountain', 'slope', 'low', 'lie', 'dens', 'white', 'cloud']"
0022781.png,Mountain range covered with green vegetation and light blue sky with thin layers of white clouds,"['mountain', 'rang', 'cover', 'green', 'veget', 'light', 'blue', 'sky', 'thin', 'layer', 'white', 'cloud']"
0022783.png,A rocky mountain peak covered with snow and hazy grey sky with thick grey clouds,"['rocki', 'mountain', 'peak', 'cover', 'snow', 'hazi', 'grey', 'sky', 'thick', 'grey', 'cloud']"
0022788.png,Rocky mountain range with snow and no vegetation and light blue sky with thin white clouds,"['rocki', 'mountain', 'rang', 'snow', 'veget', 'light', 'blue', 'sky', 'thin', 'white', 'cloud']"
