image,caption,preprocessed_captions
0000339.png,Rugged mountain peak with gravel and a hazy sky with large grey clouds,"['rugged', 'mountain', 'peak', 'gravel', 'hazy', 'sky', 'large', 'grey', 'cloud']"
0000343.png,Dark Rocky mountain peaks covered with streaks of snow and hazy sky with large grey and white clouds,"['dark', 'rocky', 'mountain', 'peak', 'covered', 'streak', 'snow', 'hazy', 'sky', 'large', 'grey', 'white', 'cloud']"
0000347.png,snow capped rocky peak with clear blue sky,"['snow', 'capped', 'rocky', 'peak', 'clear', 'blue', 'sky']"
0000367.png,A dark rocky peak unevenly covered with white snow and low lying dense white clouds on the top,"['dark', 'rocky', 'peak', 'unevenly', 'covered', 'white', 'snow', 'low', 'lying', 'dense', 'white', 'cloud', 'top']"
0022500.png,Green hills with pine trees and hazy sky,"['green', 'hill', 'pine', 'tree', 'hazy', 'sky']"
0022504.png,rocky hills with light blue sky,"['rocky', 'hill', 'light', 'blue', 'sky']"
0022508.png,Green rocky hills with white clouds and blue sky,"['green', 'rocky', 'hill', 'white', 'cloud', 'blue', 'sky']"
0022509.png,Snow capped mountain range,"['snow', 'capped', 'mountain', 'range']"
0022515.png,Rocky hills with streaks of white snow,"['rocky', 'hill', 'streak', 'white', 'snow']"
0022521.png,Three rocky mountain peaks with snow and clear light blue sky,"['three', 'rocky', 'mountain', 'peak', 'snow', 'clear', 'light', 'blue', 'sky']"
0022523.png,Stoney mountains with sparse vegetation and clear blue sky,"['stoney', 'mountain', 'sparse', 'vegetation', 'clear', 'blue', 'sky']"
0022526.png,Two sharp snow capped mountains with scattered white clouds,"['two', 'sharp', 'snow', 'capped', 'mountain', 'scattered', 'white', 'cloud']"
0022527.png,Green hill with dense low lying white clouds,"['green', 'hill', 'dense', 'low', 'lying', 'white', 'cloud']"
0022530.png,A Mountain valley with orange sky,"['mountain', 'valley', 'orange', 'sky']"
0022532.png,Dark rocky mountain with light pink clouds and blue sky,"['dark', 'rocky', 'mountain', 'light', 'pink', 'cloud', 'blue', 'sky']"
0022541.png,Snow capped Mountain range with grey hazy sky,"['snow', 'capped', 'mountain', 'range', 'grey', 'hazy', 'sky']"
0022545.png,Blue rocky mountain range with clear dark blue sky,"['blue', 'rocky', 'mountain', 'range', 'clear', 'dark', 'blue', 'sky']"
0022547.png,Single dark snow capped mountain with dark grey sky,"['single', 'dark', 'snow', 'capped', 'mountain', 'dark', 'grey', 'sky']"
0022551.png,A single rocky peak with streaks of snow and blue sky scattered with light blue sky,"['single', 'rocky', 'peak', 'streak', 'snow', 'blue', 'sky', 'scattered', 'light', 'blue', 'sky']"
0022556.png,Snow capped mountain peak with pink-grey hazy sky,"['snow', 'capped', 'mountain', 'peak', 'pink-grey', 'hazy', 'sky']"
0022562.png,A red sandstone mountain with bright blue sky and thick white clouds,"['red', 'sandstone', 'mountain', 'bright', 'blue', 'sky', 'thick', 'white', 'cloud']"
0022563.png,A hill with dense green trees and bright blue sky,"['hill', 'dense', 'green', 'tree', 'bright', 'blue', 'sky']"
0022564.png,Dark hill ranges with grey hazy sky,"['dark', 'hill', 'range', 'grey', 'hazy', 'sky']"
0022566.png,Rocky Snow capped mountains with green bushes in the base and clear light blue sky,"['rocky', 'snow', 'capped', 'mountain', 'green', 'bush', 'base', 'clear', 'light', 'blue', 'sky']"
0022570.png,Rocky Mountains with green pastures and grey cloudy sky,"['rocky', 'mountain', 'green', 'pasture', 'grey', 'cloudy', 'sky']"
0022571.png,A single weathered rocky peak with clear light blue sky,"['single', 'weathered', 'rocky', 'peak', 'clear', 'light', 'blue', 'sky']"
0022576.png,Dry sandy mountain range with hazy blue sky,"['dry', 'sandy', 'mountain', 'range', 'hazy', 'blue', 'sky']"
0022579.png,Snow streaked mountain with green trees and thick cloudy sky,"['snow', 'streaked', 'mountain', 'green', 'tree', 'thick', 'cloudy', 'sky']"
0022580.png,layered orange mountain side with bright blue sky,"['layered', 'orange', 'mountain', 'side', 'bright', 'blue', 'sky']"
0022584.png,Sedimentary grey mountain range with dense green bushes in the base,"['sedimentary', 'grey', 'mountain', 'range', 'dense', 'green', 'bush', 'base']"
0022586.png,Dark mountain ranges with a clear sky and a layer of white cloud,"['dark', 'mountain', 'range', 'clear', 'sky', 'layer', 'white', 'cloud']"
0022587.png,Snow capped jagged mountain peaks with orange trees and light blue sky with scattered white clouds,"['snow', 'capped', 'jagged', 'mountain', 'peak', 'orange', 'tree', 'light', 'blue', 'sky', 'scattered', 'white', 'cloud']"
0022588.png,A Snow capped mountain with clear light blue sky,"['snow', 'capped', 'mountain', 'clear', 'light', 'blue', 'sky']"
0022592.png,Dark mountain range along with a single peak with orange hazy sky,"['dark', 'mountain', 'range', 'along', 'single', 'peak', 'orange', 'hazy', 'sky']"
0022593.png,Snow capped rocky mountain peaks and a light blue sky with scattered white clouds,"['snow', 'capped', 'rocky', 'mountain', 'peak', 'light', 'blue', 'sky', 'scattered', 'white', 'cloud']"
0022595.png,A weathered down grey rocky peak and blue hazy sky with thick grey clouds,"['weathered', 'grey', 'rocky', 'peak', 'blue', 'hazy', 'sky', 'thick', 'grey', 'cloud']"
0022596.png,A hill covered with dense green trees and bushes and hazy sky with a grey cloud on the hill,"['hill', 'covered', 'dense', 'green', 'tree', 'bush', 'hazy', 'sky', 'grey', 'cloud', 'hill']"
0022598.png,Sharp snow cladded mountain peaks with dry vegetation and dark blue sky with thick dark grey clouds,"['sharp', 'snow', 'cladded', 'mountain', 'peak', 'dry', 'vegetation', 'dark', 'blue', 'sky', 'thick', 'dark', 'grey', 'cloud']"
0022599.png,A mountain amongst a pine tree forest in snow with clear light blue sky,"['mountain', 'amongst', 'pine', 'tree', 'forest', 'snow', 'clear', 'light', 'blue', 'sky']"
0022606.png,Snowy mountain trail with clear light blue sky,"['snowy', 'mountain', 'trail', 'clear', 'light', 'blue', 'sky']"
0022607.png,Four snowy mountain peaks and white sky covered with thick white clouds,"['four', 'snowy', 'mountain', 'peak', 'white', 'sky', 'covered', 'thick', 'white', 'cloud']"
0022608.png,Rocky mountain edge with yellow-green trees and hazy grey sky with grey clouds,"['rocky', 'mountain', 'edge', 'yellow-green', 'tree', 'hazy', 'grey', 'sky', 'grey', 'cloud']"
0022610.png,Rocky Mountain slope with gravel and spare green bushes and light blue sky with thick grey clouds,"['rocky', 'mountain', 'slope', 'gravel', 'spare', 'green', 'bush', 'light', 'blue', 'sky', 'thick', 'grey', 'cloud']"
0022611.png,Snowy Mountain peak with a hill range covered in orange moss and hazy sky covered with thick grey clouds,"['snowy', 'mountain', 'peak', 'hill', 'range', 'covered', 'orange', 'moss', 'hazy', 'sky', 'covered', 'thick', 'grey', 'cloud']"
0022613.png,Grey rocky mountain table top with clear light blue sky,"['grey', 'rocky', 'mountain', 'table', 'top', 'clear', 'light', 'blue', 'sky']"
0022616.png,Snow capped mountain peak with no vegetation and clear blue sky,"['snow', 'capped', 'mountain', 'peak', 'vegetation', 'clear', 'blue', 'sky']"
0022617.png,Low lying mountain ranges covered with dense green trees and bright blue sky with scattered thick white clouds,"['low', 'lying', 'mountain', 'range', 'covered', 'dense', 'green', 'tree', 'bright', 'blue', 'sky', 'scattered', 'thick', 'white', 'cloud']"
0022619.png,Tall Mountain peak surrounded by pine trees with a dense grey cloud cover,"['tall', 'mountain', 'peak', 'surrounded', 'pine', 'tree', 'dense', 'grey', 'cloud', 'cover']"
0022623.png,Low lying hill range covered with green grass and a light blue sky with a layer of low lying white clouds,"['low', 'lying', 'hill', 'range', 'covered', 'green', 'grass', 'light', 'blue', 'sky', 'layer', 'low', 'lying', 'white', 'cloud']"
0022626.png,Rocky snow basin without any vegetation with clear blue sky,"['rocky', 'snow', 'basin', 'without', 'vegetation', 'clear', 'blue', 'sky']"
0022627.png,Snow Capped mountain peak covered with brown grass and a hazy light blue sky,"['snow', 'capped', 'mountain', 'peak', 'covered', 'brown', 'grass', 'hazy', 'light', 'blue', 'sky']"
0022632.png,Mountain Slope covered with dense green grass and low lying thick white clouds and hazy sky,"['mountain', 'slope', 'covered', 'dense', 'green', 'grass', 'low', 'lying', 'thick', 'white', 'cloud', 'hazy', 'sky']"
0022634.png,Snow cladded sharp peak with clear sky,"['snow', 'cladded', 'sharp', 'peak', 'clear', 'sky']"
0022642.png,Ragged orange mountain peaks with sparse green grass and hazy light blue sky,"['ragged', 'orange', 'mountain', 'peak', 'sparse', 'green', 'grass', 'hazy', 'light', 'blue', 'sky']"
0022645.png,Rocky Mountain slope with streaks of snow with the sun light hitting the peak and clear blue sky,"['rocky', 'mountain', 'slope', 'streak', 'snow', 'sun', 'light', 'hitting', 'peak', 'clear', 'blue', 'sky']"
0022646.png,Blue hill range dense green vegetation and light blue sky with thin white clouds,"['blue', 'hill', 'range', 'dense', 'green', 'vegetation', 'light', 'blue', 'sky', 'thin', 'white', 'cloud']"
0022651.png,Snow capped rocky mountain peak surrounded with pine trees and thick white low lying clouds,"['snow', 'capped', 'rocky', 'mountain', 'peak', 'surrounded', 'pine', 'tree', 'thick', 'white', 'low', 'lying', 'cloud']"
0022656.png,Rocky rounded mountain covered with dense green bushes and blue sky scattered with thin white clouds,"['rocky', 'rounded', 'mountain', 'covered', 'dense', 'green', 'bush', 'blue', 'sky', 'scattered', 'thin', 'white', 'cloud']"
0022657.png,Snow capped rocky mountain peaks with sparse green bushes and clear blue sky,"['snow', 'capped', 'rocky', 'mountain', 'peak', 'sparse', 'green', 'bush', 'clear', 'blue', 'sky']"
0022658.png,Snow streaked rocky mountain peaks surrounded with pine trees and low lying thick white clouds and bright blue sky,"['snow', 'streaked', 'rocky', 'mountain', 'peak', 'surrounded', 'pine', 'tree', 'low', 'lying', 'thick', 'white', 'cloud', 'bright', 'blue', 'sky']"
0022661.png,Mountain slope covered with snow and grey fog,"['mountain', 'slope', 'covered', 'snow', 'grey', 'fog']"
0022665.png,Jagged mountain peaks with a mountain slope covered in green vegetation and hazy sky filled with thick grey clouds,"['jagged', 'mountain', 'peak', 'mountain', 'slope', 'covered', 'green', 'vegetation', 'hazy', 'sky', 'filled', 'thick', 'grey', 'cloud']"
0022666.png,Snow streaked mountain with green pine trees and light blue sky filled with thin white clouds,"['snow', 'streaked', 'mountain', 'green', 'pine', 'tree', 'light', 'blue', 'sky', 'filled', 'thin', 'white', 'cloud']"
0022668.png,Two snow capped mountain peaks with a mountain slope covered with green trees and clear light blue sky,"['two', 'snow', 'capped', 'mountain', 'peak', 'mountain', 'slope', 'covered', 'green', 'tree', 'clear', 'light', 'blue', 'sky']"
0022672.png,Dark Mountain with blue-grey sky and trails of white and orange clouds with the sun,"['dark', 'mountain', 'blue-grey', 'sky', 'trail', 'white', 'orange', 'cloud', 'sun']"
0022673.png,A mountain valley covered in white snow with clear light blue sky,"['mountain', 'valley', 'covered', 'white', 'snow', 'clear', 'light', 'blue', 'sky']"
0022674.png,A rugged mountain surrounded by tall green trees and hazy light blue sky,"['rugged', 'mountain', 'surrounded', 'tall', 'green', 'tree', 'hazy', 'light', 'blue', 'sky']"
0022675.png,Rugged dark rocky mountain peaks covered with thick snow and low lying thick white clouds,"['rugged', 'dark', 'rocky', 'mountain', 'peak', 'covered', 'thick', 'snow', 'low', 'lying', 'thick', 'white', 'cloud']"
0022684.png,Low lying dark mountain range covered with light snow and pine trees and light blue- grey hazy sky,"['low', 'lying', 'dark', 'mountain', 'range', 'covered', 'light', 'snow', 'pine', 'tree', 'light', 'blue-', 'grey', 'hazy', 'sky']"
0022688.png,Dark rocky peaks with the base covered in white thick snow and hazy white sky,"['dark', 'rocky', 'peak', 'base', 'covered', 'white', 'thick', 'snow', 'hazy', 'white', 'sky']"
0022690.png,Rocky rounded mountain peak covered with green grass and trees with clear blue sky,"['rocky', 'rounded', 'mountain', 'peak', 'covered', 'green', 'grass', 'tree', 'clear', 'blue', 'sky']"
0022696.png,Sandy mountain covered with green vegetation and clear light blue sky,"['sandy', 'mountain', 'covered', 'green', 'vegetation', 'clear', 'light', 'blue', 'sky']"
0022699.png,Rocky yellow rounded mountain peak with light blue sky covered with thin grey clouds,"['rocky', 'yellow', 'rounded', 'mountain', 'peak', 'light', 'blue', 'sky', 'covered', 'thin', 'grey', 'cloud']"
0022714.png,Rocky mountain slope with jagged mountain rage and blue sky covered with thick white-grey clouds,"['rocky', 'mountain', 'slope', 'jagged', 'mountain', 'rage', 'blue', 'sky', 'covered', 'thick', 'white-grey', 'cloud']"
0022716.png,Layered mountain with no vegetation and light blue night sky filled with stars,"['layered', 'mountain', 'vegetation', 'light', 'blue', 'night', 'sky', 'filled', 'star']"
0022718.png,Two snow capped rocky mountain peaks with light pink-blue clear sky,"['two', 'snow', 'capped', 'rocky', 'mountain', 'peak', 'light', 'pink-blue', 'clear', 'sky']"
0022728.png,A single snow covered mountain peak covered with pine trees and pink hazy sky with grey clouds,"['single', 'snow', 'covered', 'mountain', 'peak', 'covered', 'pine', 'tree', 'pink', 'hazy', 'sky', 'grey', 'cloud']"
0022736.png,A single rocky peak covered in sunlight and light blue hazy sky covered with thick grey clouds,"['single', 'rocky', 'peak', 'covered', 'sunlight', 'light', 'blue', 'hazy', 'sky', 'covered', 'thick', 'grey', 'cloud']"
0022738.png,Low lying mountain range covered with green vegetation and clear light blue sky,"['low', 'lying', 'mountain', 'range', 'covered', 'green', 'vegetation', 'clear', 'light', 'blue', 'sky']"
0022740.png,Rocky layered grey Mountain range covered with sparse vegetation and blue sky with spotted thick white clouds,"['rocky', 'layered', 'grey', 'mountain', 'range', 'covered', 'sparse', 'vegetation', 'blue', 'sky', 'spotted', 'thick', 'white', 'cloud']"
0022741.png,Rocky mountain range covered with dense green vegetation and cloudy grey sky,"['rocky', 'mountain', 'range', 'covered', 'dense', 'green', 'vegetation', 'cloudy', 'grey', 'sky']"
0022744.png,Rocky mountain slope streaked with white snow and clear light blue sky,"['rocky', 'mountain', 'slope', 'streaked', 'white', 'snow', 'clear', 'light', 'blue', 'sky']"
0022748.png,Low lying orange sand hills with dark green bushes and dark blue sky with thick white clouds,"['low', 'lying', 'orange', 'sand', 'hill', 'dark', 'green', 'bush', 'dark', 'blue', 'sky', 'thick', 'white', 'cloud']"
0022751.png,Rocky white mountain peaks covered with green bushes and low lying thin white clouds,"['rocky', 'white', 'mountain', 'peak', 'covered', 'green', 'bush', 'low', 'lying', 'thin', 'white', 'cloud']"
0022754.png,Grey Rocky mountain with gravel and snow surrounded with green vegetation and hazy grey sky,"['grey', 'rocky', 'mountain', 'gravel', 'snow', 'surrounded', 'green', 'vegetation', 'hazy', 'grey', 'sky']"
0022755.png,Rocky Mountain streaked with snow and clear light blue sky,"['rocky', 'mountain', 'streaked', 'snow', 'clear', 'light', 'blue', 'sky']"
0022756.png,Dark soft mountain ranges and light blue sky with sparse white clouds,"['dark', 'soft', 'mountain', 'range', 'light', 'blue', 'sky', 'sparse', 'white', 'cloud']"
0022759.png,Rocky Red stone mountain and clear blue sky,"['rocky', 'red', 'stone', 'mountain', 'clear', 'blue', 'sky']"
0022763.png,Jagged snow capped mountain peaks with no vegetation and clear light blue sky,"['jagged', 'snow', 'capped', 'mountain', 'peak', 'vegetation', 'clear', 'light', 'blue', 'sky']"
0022764.png,Valley covered with dense green trees and low lying mist with clear light pink sky,"['valley', 'covered', 'dense', 'green', 'tree', 'low', 'lying', 'mist', 'clear', 'light', 'pink', 'sky']"
0022767.png,Snow covered mountain slope with a few Pine trees and Low lying thick white clouds,"['snow', 'covered', 'mountain', 'slope', 'pine', 'tree', 'low', 'lying', 'thick', 'white', 'cloud']"
0022771.png,A snow capped mountain peak covered with thick white clouds and a blue sky,"['snow', 'capped', 'mountain', 'peak', 'covered', 'thick', 'white', 'cloud', 'blue', 'sky']"
0022773.png,Rocky mountain range with no trees and clear light blue sky,"['rocky', 'mountain', 'range', 'tree', 'clear', 'light', 'blue', 'sky']"
0022774.png,A rocky mountain peak covered with green trees and light blue sky with few scattered white clouds,"['rocky', 'mountain', 'peak', 'covered', 'green', 'tree', 'light', 'blue', 'sky', 'scattered', 'white', 'cloud']"
0022779.png,Jagged rocky mountain slope with low lying dense white clouds,"['jagged', 'rocky', 'mountain', 'slope', 'low', 'lying', 'dense', 'white', 'cloud']"
0022781.png,Mountain range covered with green vegetation and light blue sky with thin layers of white clouds,"['mountain', 'range', 'covered', 'green', 'vegetation', 'light', 'blue', 'sky', 'thin', 'layer', 'white', 'cloud']"
0022783.png,A rocky mountain peak covered with snow and hazy grey sky with thick grey clouds,"['rocky', 'mountain', 'peak', 'covered', 'snow', 'hazy', 'grey', 'sky', 'thick', 'grey', 'cloud']"
0022788.png,Rocky mountain range with snow and no vegetation and light blue sky with thin white clouds,"['rocky', 'mountain', 'range', 'snow', 'vegetation', 'light', 'blue', 'sky', 'thin', 'white', 'cloud']"
